 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP
($)","FeLV
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
417,Lakewood Pet Vet,(562) 925-2300,6405 Del Amo Blvd,Lakewood,90713,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 7:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,911 Vet Care,(661) 874-0000,42053 10th St W,Lancaster,93534,General Practice,"Tuesday: 8:00 AM – 10:00 PM
Wednesday: 8:00 AM – 10:00 PM
Thursday: 8:00 AM – 10:00 PM
Friday: 8:00 AM – 10:00 PM
Saturday: 8:00 AM – 10:00 PM
Sunday: 8:00 AM – 10:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Affordable Veterinary Services,null,44825 Beech Ave,Lancaster,93534,General Practice,"Monday: 6:00 AM – 9:00 PM
Tuesday: 6:00 AM – 9:00 PM
Wednesday: 6:00 AM – 9:00 PM
Thursday: 6:00 AM – 9:00 PM
Friday: 6:00 AM – 9:00 PM
Saturday: 6:00 AM – 9:00 PM
Sunday: 6:00 AM – 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,AV Veterinary Center,(661) 729-1500,1055 Columbia Way #103,Lancaster,93534,General Practice,"Monday: 8:00 AM – 10:00 PM
Tuesday: 8:00 AM – 10:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 10:00 PM
Saturday: 8:00 AM – 10:00 PM
Sunday: 8:00 AM – 10:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Boulevard Veterinary Hospital,(661) 942-1489,354 W Lancaster Blvd,Lancaster,93534,General Practice,"Monday: 8:30 AM – 9:00 PM
Tuesday: 8:30 AM – 9:00 PM
Wednesday: 8:30 AM – 7:00 PM
Thursday: 8:30 AM – 7:00 PM
Friday: 8:30 AM – 7:00 PM
Saturday: 8:30 AM – 7:00 PM
Sunday: 8:30 AM – 7:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Greater Good Veterinary Care,(661) 603-1771,1250 Commerce Center Dr,Lancaster,93534,General Practice,"Monday: 6:00 PM – 6:00 AM
Friday: 6:00 PM – 6:00 AM
Saturday: 6:00 PM – 6:00 AM
Sunday: 6:00 PM – 6:00 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Lancaster Pet Clinic,(661) 949-9389,2060 W Ave K,Lancaster,93536,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 12:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,North Valley Veterinary Clinic: Bosma Larry F DVM,(661) 945-7906,43619 Sierra Hwy,Lancaster,93534,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 8:00 AM – 8:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Sears Veterinary Hospital,(661) 948-5911,565 W Ave I,Lancaster,93534,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Smith Veterinary Hospital,(661) 948-5065,44623 10th St W,Lancaster,93534,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Lemon Grove Veterinary Hospital,(619) 463-0301,7572 North Ave,Lemon Grove,91945,General Practice,"Tuesday: 8:00 AM – 3:00 PM
Wednesday: 8:00 AM – 3:00 PM
Thursday: 8:00 AM – 3:00 PM
Saturday: 8:00 AM – 3:00 PM
Sunday: 8:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,San Diego Pet Hospital,(619) 462-6600,7368 Broadway Ste A,Lemon Grove,91945,General Practice,"Tuesday: 10:00 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:30 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Lomita Pet Hospital,(310) 856-9443,25445 Narbonne Ave,Lomita,90717,General Practice,"Monday: 9:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Narbonne Animal Clinic,(310) 325-5850,25445 Narbonne Ave,Lomita,90717,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Ocean Pet Clinic,(424) 328-0069,24719 Narbonne Ave,Lomita,90717,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM
Sunday: 8:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Pierson Lisa a DVM,(310) 375-2467,"Lomita, CA 90717, USA",Lomita,90717,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Lompoc Veterinary Clinic,(805) 736-6555,1416 E Ocean Ave,Lompoc,93436,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 5:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 9:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Thacker Verne DVM,(805) 733-3548,3883 Constellation Rd,Lompoc,93436,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Village Veterinary Clinic,(805) 616-2968,3883 Constellation Rd,Lompoc,93436,General Practice,"Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:30 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,West Valley Veterinary Clinic,(805) 736-1238,123 North V St,Lompoc,93436,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Ambassador Long Beach Veterinary Hospital,(562) 427-2889,2251 E Carson St,Long Beach,90807,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 7:30 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Beach Veterinary Hospital,(562) 433-3400,2741 E 4th St,Long Beach,90814,General Practice,"Wednesday: 11:00 AM – 7:00 PM
Thursday: 11:00 AM – 7:00 PM
Friday: 11:00 AM – 7:00 PM
Saturday: 11:00 AM – 7:00 PM
Sunday: 11:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Belmont Shore Veterinary Hospital,(562) 961-0028,6222 E Pacific Coast Hwy,Long Beach,90803,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 7:30 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Bixby Animal Clinic,(562) 426-4066,3938 Atlantic Ave,Long Beach,90807,General Practice,"Monday: 8:00 AM – 11:00 PM
Tuesday: 8:00 AM – 11:00 PM
Wednesday: 8:00 AM – 11:00 PM
Thursday: 8:00 AM – 11:00 PM
Friday: 8:00 AM – 11:00 PM
Saturday: 8:00 AM – 11:00 PM
Sunday: 8:00 AM – 11:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Boulevard Animal Hospital,(562) 633-6514,2139 E Artesia Blvd,Long Beach,90805,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Cats & Dogs Animal Hospital,(562) 800-9982,627 Redondo Ave,Long Beach,90814,General Practice,"Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Evening Pet Clinic,(562) 422-1223,6803 Cherry Ave,Long Beach,90805,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 9:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Gentle Care Pet Clinic,(562) 594-9955,8175 E Wardlow Rd,Long Beach,90808,General Practice,"Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Lbc Vets Primary and Urgent Care,(562) 579-4485,1752 Clark Ave,Long Beach,90815,General Practice,"Monday: 7:00 AM – 12:00 AM
Tuesday: 7:00 AM – 12:00 AM
Wednesday: 7:00 AM – 12:00 AM
Thursday: 7:00 AM – 12:00 AM
Friday: 7:00 AM – 12:00 AM
Saturday: 7:00 AM – 12:00 AM
Sunday: 7:00 AM – 12:00 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Long Beach Animal Emergency,(562) 735-5200,4720 E Pacific Coast Hwy,Long Beach,90804,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Long Beach Animal Hospital,(562) 434-9966,3816 E Anaheim St,Long Beach,90804,General Practice,"Monday: 10:00 AM – 10:00 PM
Tuesday: 7:30 AM – 10:00 PM
Wednesday: 7:30 AM – 10:00 PM
Thursday: 7:30 AM – 10:00 PM
Friday: 7:30 AM – 10:00 PM
Saturday: 7:30 AM – 10:00 PM
Sunday: 8:00 AM – 10:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Long Beach Animal Urgent Care,(562) 550-3150,2540 E Anaheim St,Long Beach,90804,General Practice,"Tuesday: 12:00 PM – 10:00 PM
Wednesday: 12:00 PM – 10:00 PM
Thursday: 12:00 PM – 10:00 PM
Friday: 12:00 PM – 10:00 PM
Saturday: 12:00 PM – 10:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Los Coyotes Pet Hospital,(562) 627-1000,3599 N Los Coyotes Diagonal B,Long Beach,90808,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Parkview Pet Hospital - Long Beach,(562) 425-8140,4103 N Viking Way Suite A,Long Beach,90808,General Practice,"Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 10:00 AM – 4:00 PM
Saturday: 8:30 AM – 6:00 PM
Sunday: 8:30 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Pine Animal Hospital,(562) 912-7463,900 Pine Ave,Long Beach,90813,General Practice,"Tuesday: 7:30 AM – 6:30 PM
Wednesday: 7:30 AM – 6:30 PM
Thursday: 7:30 AM – 6:30 PM
Friday: 7:30 AM – 6:30 PM
Saturday: 7:30 AM – 6:30 PM
Sunday: 7:30 AM – 4:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Primary Care Animal Hospital,(562) 274-7776,2200 N Lakewood Blvd,Long Beach,90815,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 10:00 PM
Wednesday: 8:00 AM – 10:00 PM
Thursday: 8:00 AM – 10:00 PM
Friday: 8:00 AM – 10:00 PM
Saturday: 8:00 AM – 10:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Primary Care Animal Hospital - Bixby Knolls,(562) 471-7711,920 E Wardlow Rd,Long Beach,90807,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Promenade Veterinary Hospital,(562) 450-5893,201 The Promenade N #105,Long Beach,90802,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Spring Animal Hospital,(562) 421-8463,5858 E Spring St,Long Beach,90815,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Stitches Veterinary Surgery,(562) 579-4899,2211 N Bellflower Blvd,Long Beach,90815,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Uptown Animal Hospital Inc,(562) 424-8541,3350 Atlantic Ave,Long Beach,90807,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,VCA Los Altos Animal Hospital,(562) 421-3749,3080 Woodruff Ave Suite B,Long Beach,90808,General Practice,"Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 7:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Little Cottonwood Animal Hospital,(562) 372-6642,4102 Katella Ave,Los Alamitos,90720,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,"Shawn Camacho, DVM",(562) 375-6950,10832 Los Alamitos Blvd,Los Alamitos,90720,General Practice,"Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM
Sunday: 8:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,VCA Rossmoor-El Dorado Animal Hospital,(562) 598-8621,10832 Los Alamitos Blvd,Los Alamitos,90720,General Practice,"Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM
Sunday: 8:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,ACCESS Specialty Animal Hospitals - San Fernando Valley,(818) 887-2262,20051 Ventura Blvd,Los Angeles,91364,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Ace Animal Hospital,(310) 833-1111,1450 W 25th St,Los Angeles,90732,General Practice,"Monday: 9:00 AM – 9:00 PM
Tuesday: 8:30 AM – 9:00 PM
Wednesday: 8:30 AM – 9:00 PM
Thursday: 8:30 AM – 9:00 PM
Friday: 8:30 AM – 9:00 PM
Saturday: 8:30 AM – 9:00 PM
Sunday: 9:00 AM – 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Advanced Veterinary Mobile Clinic,(818) 441-9366,5447 White Oak Ave,Los Angeles,91316,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Affordable Animal Hospital NOHO,(818) 572-4054,5118 Vineland Ave,Los Angeles,91601,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Affordable Animal Hospital Silver Lake,(323) 664-2188,2417 Riverside Dr,Los Angeles,90039,General Practice,"Monday: 9:00 AM – 3:00 PM
Tuesday: 9:00 AM – 5:30 PM
Wednesday: 9:00 AM – 5:30 PM
Thursday: 9:00 AM – 5:30 PM
Friday: 9:00 AM – 5:30 PM
Saturday: 9:00 AM – 5:30 PM
Sunday: 9:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,All Pets Medical Centre,(818) 883-2600,7606 Fallbrook Ave,Los Angeles,91304,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Aloro Pet Hospital,(818) 766-8197,4846 Laurel Canyon Blvd,Los Angeles,91607,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Ambassador Dog & Cat Hospital,(213) 384-1255,3684 Beverly Blvd,Los Angeles,90004,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Angel City Animal Hospital,(323) 522-3134,4364 Fountain Ave,Los Angeles,90029,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 2:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Angeles Vista Pet Medical Center,(323) 292-0387,4414 Crenshaw Blvd,Los Angeles,90043,General Practice,"Wednesday: 8:00 AM – 4:00 PM
Thursday: 8:00 AM – 4:00 PM
Friday: 8:00 AM – 3:00 PM
Saturday: 8:00 AM – 3:00 PM
Sunday: 8:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Animal Clinic of Encino,(818) 342-7900,18010 W Ventura Blvd,Los Angeles,91316,General Practice,"Tuesday: 8:00 AM – 12:00 PM
Tuesday: 2:00 PM – 6:00 PM
Wednesday: 8:00 AM – 12:00 PM
Wednesday: 2:00 PM – 6:00 PM
Thursday: 8:00 AM – 12:00 PM
Thursday: 2:00 PM – 6:00 PM
Friday: 8:00 AM – 12:00 PM
Friday: 2:00 PM – 6:00 PM
Saturday: 8:00 AM – 12:00 PM
Saturday: 2:00 PM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Animal Clinic Western Inc,(310) 534-0315,23820 Western Ave,Los Angeles,90710,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Animal Dermatology Center,(818) 981-8877,13125 Ventura Blvd,Los Angeles,91604,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Animal Health Care Center,(323) 258-2122,5211 El Verano Ave,Los Angeles,90041,General Practice,"Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Animal Urgent Care K-Town,(323) 302-5200,3035 W Olympic Blvd,Los Angeles,90006,General Practice,"Monday: 12:00 PM – 10:00 PM
Tuesday: 12:00 PM – 10:00 PM
Wednesday: 12:00 PM – 10:00 PM
Thursday: 12:00 PM – 10:00 PM
Friday: 12:00 PM – 10:00 PM
Saturday: 12:00 PM – 10:00 PM
Sunday: 12:00 PM – 10:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Animal Vision Care & Surgical Center,(818) 501-5155,12147 Ventura Blvd,Los Angeles,91604,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,"Aristide, Mobile Veterinarian",(310) 593-4606,838 N Doheny Dr,Los Angeles,90069,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,ARK ANIMAL HOSPITAL,(323) 402-0039,2901 W Exposition Blvd,Los Angeles,90018,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 4:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,At Your Service Veterinary Hospital,(310) 561-1872,770 W 9th St,Los Angeles,90731,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Avenue 26 Small Animal Hospital,(323) 224-1231,609 W Ave 26,Los Angeles,90065,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 2:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 2:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Balboa Veterinary Medical Center,(818) 368-2846,10361 Balboa Blvd,Los Angeles,91344,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Berkley Pet Hospital,(818) 763-6221,10908 Burbank Blvd,Los Angeles,91601,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Best Friends Animal Hospital,(818) 766-2140,5425 Laurel Canyon Blvd,Los Angeles,91607,General Practice,"Tuesday: 7:30 AM – 7:00 PM
Wednesday: 7:30 AM – 7:00 PM
Thursday: 7:30 AM – 7:00 PM
Friday: 7:30 AM – 7:00 PM
Saturday: 7:30 AM – 7:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Beverly Pet Clinic,(323) 378-5402,4655 Beverly Blvd,Los Angeles,90004,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
