NorCal + Central Valley VA Call & Price Log  —  1067 Vets  |  One row per vet. Fill in prices for each service collected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP(cat)
($)","FeLV(cat)
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
432,Del Valle Pet Hospital,(925) 443-6000,1172 Murrieta Blvd,Livermore,94550,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Integrative Veterinary Care,(925) 449-7922,2110 Greenville Rd,Livermore,94550,General Practice,"Monday: 8:30 AM – 5:30 PM
Tuesday: 8:30 AM – 5:30 PM
Wednesday: 8:30 AM – 5:30 PM
Thursday: 8:30 AM – 5:30 PM
Friday: 8:30 AM – 5:30 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Livermore Family Pet Hospital,(925) 447-1420,2494 Railroad Ave,Livermore,94550,General Practice,"Monday: 8:30 AM – 6:00 PM
Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Ohana Animal Hospital,(925) 394-4990,2844 Las Positas Rd,Livermore,94551,General Practice,"Monday: 8:00 AM – 5:30 PM
Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,PetCura Animal Hospital,(925) 292-5153,1817 Holmes St,Livermore,94550,General Practice,"Monday: 8:00 AM – 9:00 PM
Tuesday: 8:00 AM – 9:00 PM
Wednesday: 8:00 AM – 9:00 PM
Thursday: 8:00 AM – 9:00 PM
Friday: 8:00 AM – 9:00 PM
Saturday: 8:00 AM – 9:00 PM
Sunday: 9:00 AM – 8:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Well Animal Hospital,(925) 800-3220,2267 Las Positas Rd,Livermore,94551,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Penryn Pet Hospital,(916) 692-9460,3210 Boyington Rd Ste 100,Loomis,95650,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,VCA Loomis Basin Veterinary Clinic,(916) 652-5816,3901 Sierra College Blvd,Loomis,95650,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Adobe Animal Hospital Los Altos,(650) 948-9661,4470 El Camino Real,Los Altos,94022,General Practice,"Monday: 7:00 AM – 9:00 PM
Tuesday: 7:00 AM – 9:00 PM
Wednesday: 7:00 AM – 9:00 PM
Thursday: 7:00 AM – 9:00 PM
Friday: 7:00 AM – 9:00 PM
Saturday: 7:00 AM – 9:00 PM
Sunday: 7:00 AM – 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Los Altos Veterinary Clinic,(650) 948-8287,1150 Riverside Dr,Los Altos,94024,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 4:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,PetiMed,(650) 464-3003,221 Main St #1257,Los Altos,94023,General Practice,"Monday: 9:00 AM – 6:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Adobe Veterinary Marketplace,(408) 357-8008,15965 Los Gatos Blvd #102,Los Gatos,95032,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,El Gato Veterinary Hospital,(408) 356-2181,15748 Los Gatos Blvd,Los Gatos,95032,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Los Gatos Dog & Cat Hospital,(669) 319-2011,17480 Shelburne Way,Los Gatos,95030,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Loving at Home Pet Euthanasia,(408) 348-4559,600 Pennsylvania Ave #23,Los Gatos,95030,General Practice,"Monday: 9:00 AM – 4:00 PM
Tuesday: 9:00 AM – 4:00 PM
Wednesday: 9:00 AM – 4:00 PM
Thursday: 9:00 AM – 4:00 PM
Friday: 9:00 AM – 4:00 PM
Saturday: 9:00 AM – 4:00 PM
Sunday: 9:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Summit Veterinary Hospital,(408) 353-1113,23291 Summit Rd,Los Gatos,95033,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,The Whole Pet Vet,(669) 319-4970,325 Saratoga-Los Gatos Rd #0,Los Gatos,95030,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,VCA Animal Hospital of Los Gatos,(408) 354-9530,524 N Santa Cruz Ave,Los Gatos,95030,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Mill Creek Veterinary Hospital,(530) 384-1700,8202 State Hwy 99 E,Los Molinos,96055,General Practice,"Tuesday: 8:00 AM – 12:00 PM
Tuesday: 1:00 PM – 5:00 PM
Wednesday: 8:00 AM – 12:00 PM
Wednesday: 1:00 PM – 5:00 PM
Thursday: 8:00 AM – 12:00 PM
Thursday: 1:00 PM – 5:00 PM
Friday: 8:00 AM – 12:00 PM
Friday: 1:00 PM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Madera Animal Hospital,(559) 674-9871,16772 Rd 26,Madera,93638,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:30 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Madera Veterinary Center,(559) 675-3044,2446 Schnoor Ave,Madera,93637,General Practice,"Tuesday: 7:00 AM – 5:30 PM
Wednesday: 7:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 7:00 AM – 5:30 PM
Saturday: 7:00 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Manteca Veterinary Hospital,(209) 823-1168,911 Moffat Blvd,Manteca,95336,General Practice,"Tuesday: 7:30 AM – 12:00 PM
Tuesday: 1:00 PM – 5:00 PM
Wednesday: 7:30 AM – 12:00 PM
Wednesday: 1:00 PM – 5:00 PM
Thursday: 7:30 AM – 12:00 PM
Thursday: 1:00 PM – 5:00 PM
Friday: 7:30 AM – 12:00 PM
Friday: 1:00 PM – 5:00 PM
Saturday: 7:30 AM – 12:00 PM
Saturday: 1:00 PM – 5:00 PM
Sunday: 8:00 AM – 12:00 PM
Sunday: 1:30 PM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Animal Wellness Centers,(310) 450-7387,4131 Del Rey Ave,Marina del Rey,90292,General Practice,"Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Elite Veterinary Care,(310) 956-1702,4139 Via Marina,Marina del Rey,90292,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Shane Veterinary Medical Center,(310) 305-7297,4816 Lincoln Blvd,Marina del Rey,90292,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Contra Costa Spay & Neuter,(925) 608-8420,4800 Imhoff Pl,Martinez,94553,General Practice,"Monday: Closed
Tuesday: 10:00 AM – 5:00 PM
Wednesday: 10:00 AM – 7:00 PM
Thursday: 10:00 AM – 5:00 PM
Friday: 10:00 AM – 5:00 PM
Saturday: 10:00 AM – 5:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,"Dr. Michael S. Martinez, MD",(925) 370-5110,2500 Alhambra Ave,Martinez,94553,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Martinez Animal Hospital,(925) 228-7100,4000 Alhambra Ave,Martinez,94553,General Practice,"Monday: 7:00 AM – 6:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 – 11:30 AM, 1:30 – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Montecito Animal Clinic,(925) 686-0683,5280 Pacheco Blvd,Martinez,94553,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Muir Oaks Veterinary Hospital,(925) 372-9200,1180 Muir Rd,Martinez,94553,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:30 AM – 5:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Oasis Veterinary Hospital,(925) 954-8087,6635 Alhambra Ave #100,Martinez,94553,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,SNIP,(925) 473-5027,4800 Imhoff Pl,Martinez,94553,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Feather River Veterinary Hospital,(530) 742-0919,5975 Woodland Dr,Marysville,95901,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Marysville Veterinary Hospital,(530) 742-8809,1530 B St,Marysville,95901,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Valley Equine,(530) 701-9598,"Marysville, CA 95901, USA",Marysville,95901,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Meadow Vista Veterinary Clinic,(530) 878-2009,17120 Placer Hills Rd,Meadow Vista,95722,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Animal Eye Doctor: Szymanski Carol DVM,(650) 321-1218,1444 El Camino Real,Menlo Park,94025,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Peninsula Pet Hospital,(650) 325-4300,548 Glenwood Ave,Menlo Park,94025,General Practice,"Monday: 8:30 AM – 5:30 PM
Tuesday: 8:30 AM – 5:30 PM
Wednesday: 8:30 AM – 5:30 PM
Thursday: 8:30 AM – 5:30 PM
Friday: 8:30 AM – 5:30 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Peninsula Vet Center,(650) 617-4300,795 Willow Rd Building 324 Wing B,Menlo Park,94025,General Practice,"Monday: 8:00 AM – 4:30 PM
Tuesday: 8:00 AM – 4:30 PM
Wednesday: 8:00 AM – 4:30 PM
Thursday: 8:00 AM – 4:30 PM
Friday: 8:00 AM – 4:30 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Merced Animal Medical Center,(209) 383-0434,3765 E Yosemite Ave,Merced,95340,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Merced Veterinary Clinic: Chiffelle Carol DVM,(209) 383-0555,3200 G St,Merced,95340,General Practice,"Tuesday: 7:30 AM – 7:00 PM
Wednesday: 7:30 AM – 7:00 PM
Thursday: 7:30 AM – 7:00 PM
Friday: 7:30 AM – 7:00 PM
Saturday: 7:30 AM – 7:00 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Santa Fe Pet Hospital,(209) 722-0249,3113 Beachwood Dr,Merced,95348,General Practice,"Tuesday: 7:30 AM – 5:30 PM
Wednesday: 7:30 AM – 5:30 PM
Thursday: 7:30 AM – 5:30 PM
Friday: 7:30 AM – 5:30 PM
Saturday: 7:30 AM – 5:30 PM
Sunday: 7:30 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Sierra Gateway Veterinary Clinic,(209) 386-0946,7440 CA-140,Merced,95340,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 3:30 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Valley Animal Hospital of Merced,(209) 384-7387,58 W 16th St,Merced,95340,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Aggie Animal Dental Center,(415) 389-5917,487 Miller Ave,Mill Valley,94941,General Practice,"Monday: 7:30 AM – 5:00 PM
Tuesday: 7:30 AM – 5:00 PM
Wednesday: 7:30 AM – 5:00 PM
Thursday: 7:30 AM – 5:00 PM
Friday: Closed
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Alto Tiburon Veterinary Hospital,(415) 383-7700,1048 Redwood Highway Frontage Rd,Mill Valley,94941,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 10:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Camino alto Veterinary Hospital & Wellness Center,(415) 383-3877,125 Camino Alto,Mill Valley,94941,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 11:00 AM – 2:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Cat Clinic,(415) 383-1195,142 Lomita Dr,Mill Valley,94941,General Practice,"Monday: 8:00 AM – 1:00 PM, 2:00 – 5:30 PM
Tuesday: 10:00 AM – 1:00 PM, 2:00 – 5:30 PM
Wednesday: 8:00 AM – 1:00 PM, 2:00 – 4:00 PM
Thursday: 10:00 AM – 1:00 PM, 2:00 – 5:30 PM
Friday: 8:00 AM – 1:00 PM, 2:00 – 4:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Marin Holisitic Veterinary Housecalls,(415) 322-8115,308 Morning Sun Ave,Mill Valley,94941,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Mill Valley Pet Clinic,(415) 388-7607,546 Miller Ave,Mill Valley,94941,General Practice,"Monday: 7:30 AM – 6:00 PM
Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Mill Valley Veterinarians,(628) 221-0403,38 Miller Ave,Mill Valley,94941,General Practice,"Monday: 8:00 AM – 11:00 PM
Tuesday: 8:00 AM – 11:00 PM
Wednesday: 8:00 AM – 11:00 PM
Thursday: 8:00 AM – 11:00 PM
Friday: 8:00 AM – 11:00 PM
Saturday: Open 24 hours
Sunday: 8:00 AM – 11:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,"Paige Farnell, DVM",(415) 634-8348,400 Sycamore Ave,Mill Valley,94941,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Sams Clinic Veterinary,(415) 380-0500,489 Miller Ave,Mill Valley,94941,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 12:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,VCA Tamalpais Animal Hospital,(415) 388-3315,691 E Blithedale Ave,Mill Valley,94941,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Millbrae Pet Hospital,(650) 583-1500,128 Park Pl,Millbrae,94030,General Practice,"Monday: 9:00 AM – 8:00 PM
Tuesday: 9:00 AM – 8:00 PM
Wednesday: 9:00 AM – 8:00 PM
Thursday: 9:00 AM – 8:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: 9:00 AM – 8:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Millville Veterinary Clinic,(530) 547-4457,23653 Millville Way,Millville,96062,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM
Sunday: 8:00 AM – 12:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Animal Medical Clinic,(408) 262-7190,1405 N Milpitas Blvd,Milpitas,95035,General Practice,"Tuesday: 8:30 AM – 7:00 PM
Wednesday: 8:30 AM – 7:00 PM
Thursday: 8:30 AM – 7:00 PM
Friday: 8:30 AM – 7:00 PM
Saturday: 8:30 AM – 7:00 PM
Sunday: 8:30 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Calaveras Veterinary Clinic,(408) 262-7200,105 Serra Way,Milpitas,95035,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Humane Society Silicon Valley Medical Center,(408) 262-2133,897 Ames Ave,Milpitas,95035,General Practice,"Monday: 10:00 AM – 5:00 PM
Tuesday: 7:00 AM – 4:00 PM
Wednesday: 7:00 AM – 4:00 PM
Thursday: 7:00 AM – 4:00 PM
Friday: 7:00 AM – 4:00 PM
Saturday: 7:00 AM – 4:00 PM
Sunday: 10:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Milpitas Companion Animal Care,null,C4P3+4J,Milpitas,95035,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Milpitas Pet Clinic,(408) 627-4600,175 Ranch Dr,Milpitas,95035,General Practice,"Monday: 10:00 AM – 7:00 PM
Tuesday: 10:00 AM – 4:00 PM
Wednesday: 9:00 AM – 11:00 AM
Wednesday: 3:30 PM – 6:00 PM
Thursday: 10:00 AM – 4:00 PM
Friday: 9:00 AM – 11:00 AM
Friday: 3:00 PM – 6:00 PM
Saturday: 9:00 AM – 11:00 AM
Saturday: 3:00 PM – 7:00 PM
Sunday: 10:00 AM – 7:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Parktown Veterinary Clinic,(408) 263-3990,1393 S Park Victoria Dr,Milpitas,95035,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Tama Veterinary Hospital and Urgent Care,(408) 719-8554,542 S Main St,Milpitas,95035,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 7:30 AM – 7:00 PM
Wednesday: 7:30 AM – 7:00 PM
Thursday: 7:30 AM – 7:00 PM
Friday: 7:30 AM – 7:00 PM
Saturday: 7:30 AM – 7:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,American Pet Hospital,(209) 549-8387,2405 Coffee Rd,Modesto,95355,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Beckwith Veterinary Hospital,(209) 524-9282,3232 Beckwith Ct,Modesto,95358,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Crows Landing Road Vet Clinic,(209) 538-1782,2109 Crows Landing Rd,Modesto,95358,General Practice,"Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 7:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Modesto Family Pet,(209) 275-1213,2114 College Ave,Modesto,95350,General Practice,"Tuesday: 8:30 AM – 5:30 PM
Wednesday: 8:30 AM – 5:30 PM
Thursday: 8:30 AM – 5:30 PM
Friday: 8:30 AM – 5:30 PM
Saturday: 8:30 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Pelandale Family Pet,(209) 222-6810,3900 Pelandale Ave Suite 320,Modesto,95356,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
